 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,untitled
Project Path,C:\Users\Richie\Desktop\4 semestre\DSD\ha
Project Fitted on,Fri Jun 16 17:54:36 2017

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
125,I_O/OE,1,P2,,LVCMOS18,Output,ctrl_1_,
126,INCLK3,1,,,,,,
127,GNDIO0,-,,,,,,
128,INCLK0,0,,,,,,
129,VCC,-,,,,,,
130,I_O/OE,0,A2,,LVCMOS18,Tri-Out,decenas_3_,
131,I_O,0,A4,,LVCMOS18,Tri-Out,displayd_0_,
132,I_O,0,A6,,,,,
133,I_O,0,A8,,,,,
134,I_O,0,A10,,,,,
135,I_O,0,A12,,,,,
136,VCCIO0,-,,,,,,
137,GNDIO0,-,,,,,,
138,I_O,0,B2,,LVCMOS18,Tri-Out,decenas_2_,
139,I_O,0,B4,,LVCMOS18,Tri-Out,displayu_6_,
140,I_O,0,B6,,LVCMOS18,Tri-Out,unidades_1_,
141,I_O,0,B8,,,,,
142,I_O,0,B10,,,,,
143,I_O,0,B12,,,,,
144,IN9,0,,,,,,
